"Title","Link","AddressLine1","AddressLine2","City","State","Zip","Region"
"Fredericksburg Donation Center","http://www.redcrossblood.org/donation-centers//locations/fredericksburg-donation-center","4836 Southpoint Parkway","(Near Cracker Barrel & Chick-fil-A)","Fredericksburg","VA","22407","midatlantic"
"Greenville Donation Center","http://www.redcrossblood.org/donation-centers//locations/greenville-donation-center","700 Cromwell Drive","","Greenville","NC","27858","midatlantic"
"Lynchburg Community Drawing Center (Virginia)","http://www.redcrossblood.org/donation-centers//locations/lynchburg-community-drawing-center-virginia","1900 Tate Springs Road","","Lynchburg","VA","24501","midatlantic"
"New River Valley Donor Center (Virginia)","http://www.redcrossblood.org/donation-centers//locations/new-river-valley-donor-center-virginia","250 South Main Street Suite 200","","Blacksburg","VA","24060","midatlantic"
"Norfolk Donation Center","http://www.redcrossblood.org/donation-centers//locations/norfolk-donation-center","250 West Brambleton Avenue","","Norfolk","VA","23510","midatlantic"
"Roanoke Donor Center (Virginia)","http://www.redcrossblood.org/donation-centers//locations/roanoke-donor-center-virginia","352 Church Avenue SW","","Roanoke","VA","24016","midatlantic"
"Virginia Beach Donation Center","http://www.redcrossblood.org/donation-centers//locations/virginia-beach-donation-center","Pembroke Mall - 4554 Virginia Beach Blvd.","(In Donor Center next to Target)","Virginia Beach","VA","23462","midatlantic"
"Columbia Donation Center","http://www.redcrossblood.org/donation-centers//locations/columbia-fixed-site-whole-blood","2751 Bull St","","Columbia","SC","29201","sc"
"Florence Donation Center","http://www.redcrossblood.org/donation-centers//locations/florence-fixed-site-whole-blood","1555- B West Palmetto St.","","Florence","SC","29501","sc"
"Mt Pleasant Donation Center","http://www.redcrossblood.org/donation-centers//locations/mt-pleasant-fixed-site-whole-blood","920 Houston Northcutt Blvd. Suite A","","Mt Pleasant","SC","29464","sc"
"Myrtle Beach Donation Center","http://www.redcrossblood.org/donation-centers//locations/myrtle-beach-donation-center","The Plaza at Carolina Forest ","3681 Renee Drive, Unit 4","Myrtle Beach","SC","29579","sc"
"Sumter Donation Center","http://www.redcrossblood.org/donation-centers//locations/sumter-fixed-site","1155 N Guignard Drive","","Sumter","SC","29150","sc"
"West Ashley Donation Center","http://www.redcrossblood.org/donation-centers//locations/west-ashley","2000 Sam Rittenberg Blvd.","","Charleston","SC","29407","sc"
"Beckley Donor Center (West Virginia)","http://www.redcrossblood.org/donation-centers//locations/beckley-donor-center-west-virginia","200 Industrial Drive","","Beckley","WV","25801","midatlantic"
"Fredericksburg Donation Center","http://www.redcrossblood.org/donation-centers//locations/fredericksburg-donation-center","4836 Southpoint Parkway","(Near Cracker Barrel & Chick-fil-A)","Fredericksburg","VA","22407","midatlantic"
"Greenville Donation Center","http://www.redcrossblood.org/donation-centers//locations/greenville-donation-center","700 Cromwell Drive","","Greenville","NC","27858","midatlantic"
"Lynchburg Community Drawing Center (Virginia)","http://www.redcrossblood.org/donation-centers//locations/lynchburg-community-drawing-center-virginia","1900 Tate Springs Road","","Lynchburg","VA","24501","midatlantic"
"New River Valley Donor Center (Virginia)","http://www.redcrossblood.org/donation-centers//locations/new-river-valley-donor-center-virginia","250 South Main Street Suite 200","","Blacksburg","VA","24060","midatlantic"
"Norfolk Donation Center","http://www.redcrossblood.org/donation-centers//locations/norfolk-donation-center","250 West Brambleton Avenue","","Norfolk","VA","23510","midatlantic"
"Roanoke Donor Center (Virginia)","http://www.redcrossblood.org/donation-centers//locations/roanoke-donor-center-virginia","352 Church Avenue SW","","Roanoke","VA","24016","midatlantic"
"Virginia Beach Donation Center","http://www.redcrossblood.org/donation-centers//locations/virginia-beach-donation-center","Pembroke Mall - 4554 Virginia Beach Blvd.","(In Donor Center next to Target)","Virginia Beach","VA","23462","midatlantic"
"Albany Donor Center","http://www.redcrossblood.org/donation-centers//locations/albany-donor-center","1515 Dawson Road","","Albany","GA","31707","southern"
"Alpharetta Donor Center","http://www.redcrossblood.org/donation-centers//locations/alpharetta-donor-center","3000 Old Alabama Road","","Alpharetta","GA","30022","southern"
"Athens Donor Center","http://www.redcrossblood.org/donation-centers//locations/athens-donor-center","3525-3527 Atlanta Highway","","Athens","GA","30606","southern"
"Cobb Donor Center","http://www.redcrossblood.org/donation-centers//locations/cobb-donor-center","2145 Roswell Road  Ste 250","","Marietta","GA","30062","southern"
"Columbus Donor Center","http://www.redcrossblood.org/donation-centers//locations/columbus-donor-center","7490 Veterans Parkway","","Columbus","GA","31909","southern"
"Duluth Donor Center","http://www.redcrossblood.org/donation-centers//locations/duluth-donor-center","3090 Premiere Parkway","","Duluth","GA","30097","southern"
"Gainesville Donor Center","http://www.redcrossblood.org/donation-centers//locations/gainesville-donor-center","311 Jesse Jewell Parkway, SW","","Gainesville","GA","30503","southern"
"Macon Donor Center","http://www.redcrossblood.org/donation-centers//locations/macon-donor-center","3755 Bloomfield Road","","Macon","GA","31206","southern"
"Midtown Donor Center","http://www.redcrossblood.org/donation-centers//locations/midtown-donor-center","1955 Monroe Drive, NE","","Atlanta","GA","30324","southern"
"Savannah Donor Center","http://www.redcrossblood.org/donation-centers//locations/savannah-donor-center","25 Tibet Avenue","","Savannah","GA","31406","southern"
"Valdosta Donor Center","http://www.redcrossblood.org/donation-centers//locations/valdosta-donor-center","2517 Bemiss Road","","Valdosta","GA","31602","southern"
"Edificio Cruz Roja Americana","http://www.redcrossblood.org/donation-centers//locations/centro-fijo-rio-piedras","Calle José Celso Barbosa ","Terrenos de Centro Médico","Rio Piedras","PR","00935","puertorico"
